iter	Logloss
0	0.6310982178
1	0.5835933838
2	0.5478921875
3	0.5193298065
4	0.4978996246
5	0.4797394409
6	0.4649706604
7	0.4530538452
8	0.4435435303
9	0.4360206055
10	0.4283147156
11	0.4226660217
12	0.4182931641
13	0.4142258575
14	0.4108561218
15	0.4076958557
16	0.4051276917
17	0.4025198807
18	0.4000293701
19	0.3983130554
20	0.3962337036
21	0.3946882629
22	0.3928285919
23	0.3916521606
24	0.3901624786
25	0.3891654388
26	0.3882415863
27	0.3873963165
28	0.3861988358
29	0.3850853821
30	0.3842521774
31	0.383433696
32	0.382630632
33	0.3819704346
34	0.381364743
35	0.3805008957
36	0.3798207916
37	0.3791933472
38	0.3786457596
39	0.3781905655
40	0.3776957703
41	0.3771243179
42	0.3767818695
43	0.3763715027
44	0.3759718781
45	0.3754940277
46	0.3751728455
47	0.3745977432
48	0.3741727768
49	0.3738149078
50	0.3734848526
51	0.3731480743
52	0.3728551331
53	0.3725770813
54	0.3722189804
55	0.3719519989
56	0.3716281921
57	0.3714274536
58	0.370969313
59	0.3706768112
60	0.3703948593
61	0.3700717255
62	0.3696725983
63	0.369504425
64	0.3692097412
65	0.3689340332
66	0.3687830032
67	0.3685867126
68	0.3683203934
69	0.3680594727
70	0.3678343094
71	0.3676674057
72	0.3674506577
73	0.3672105255
74	0.366945256
75	0.3667822678
76	0.3666424469
77	0.3664867722
78	0.3662778854
79	0.3660225601
80	0.3658338806
81	0.3656531754
82	0.3655153656
83	0.3653569733
84	0.3651806946
85	0.3648954178
86	0.3646528381
87	0.3644209045
88	0.3643126785
89	0.36408564
90	0.3638525467
91	0.3636514984
92	0.3634997421
93	0.3633255035
94	0.3631855484
95	0.3630422684
96	0.3628298615
97	0.3627246124
98	0.3625958572
99	0.3624506165
100	0.3622541489
101	0.362106427
102	0.3619794144
103	0.3618293442
104	0.3616922073
105	0.3615329071
106	0.3614159531
107	0.3613072189
108	0.3611870041
109	0.3610858505
110	0.3609868622
111	0.3609177887
112	0.3607526764
